id,clienId,client,jobId,revenue,date,value
-Mr4mFJgaJL3AP3lEfiq,-MoEC3k0aPRyCy4AJZDd,Edf. Maria Luíza,-MoEDjFV0VuogKgbowfl,1,,"R$537,15"
-Mt5_brLV4o4jCwlJvoB,-LK3aA6B2bXKkoBI4FBH,Edf Lygia Melo,-Ms0O64TZV2DMq--gCdk,1,,"R$2.079,00"
-NWtBmuxevFfz7zOKcAu,-MMfDNhtu1q46lStAMjm,Edificios Ilhas de Syros e Andros,-NTmy-GvTYChVLphnp9U,1,,"R$ 649,95"
-Of1ZCaDBrP9g96duk0T,-MMfDNhtu1q46lStAMjm,Edificios Ilhas de Syros e Andros,-OdAknI8Gip2tWxuiRWK,1,26/01/2026,"R$ 3.853,94"
-Of1ZCaK5v2VdLCvMDpF,-MMfDNhtu1q46lStAMjm,Edificios Ilhas de Syros e Andros,-OdAknI8Gip2tWxuiRWK,1,26/02/2026,"R$ 3.853,94"
-Of1ZCaOMx5sWn6CazRa,-MMfDNhtu1q46lStAMjm,Edificios Ilhas de Syros e Andros,-OdAknI8Gip2tWxuiRWK,1,26/03/2026,"R$ 3.853,96"
